@relation diggle-Table_A1_Lutenizing_hormone

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute binaryClass {P,N}

@data
1,2.2,5.5,2.4,P
2,2.2,4.5,2.4,P
3,2.3,5.1,2.4,P
4,2,5.5,2.2,P
5,1.6,5.7,2.1,P
6,1.4,5.1,1.5,N
7,1.8,4.3,2.3,N
8,2.2,4.8,2.3,P
9,2.9,5.6,2.5,P
10,2.6,5.9,2,N
11,2.4,6,1.9,N
12,2.1,5.1,1.7,P
13,3,5.2,2.2,P
14,2.5,4.4,1.8,P
15,2.7,5.5,3.2,N
16,2.2,5.4,3.2,N
17,2.4,4.1,2.7,P
18,2.7,4.4,2.2,P
19,3.1,4.7,2.2,P
20,2.5,4.6,1.9,P
21,2.4,6,1.9,P
22,2.3,5.6,1.8,N
23,2.4,5.1,2.7,N
24,1.9,4.7,3,N
25,3.3,4.8,2.3,P
26,3.8,5.5,2,P
27,3.7,5.1,2,N
28,3.5,5.2,2.9,N
29,3.1,5,2.9,N
30,2.7,4,2.7,P
31,4.1,3.7,2.7,P
32,4,4.8,2.3,N
33,3.4,5.9,2.6,N
34,3.2,5.5,2.4,N
35,3.7,4.9,1.8,N
36,3.6,4.4,1.7,P
37,4.1,4.7,1.5,P
38,2,4.2,1.4,N
39,4.6,5.5,2.1,N
40,4.1,4.9,3.3,N
41,3.2,4.8,3.5,P
42,2.9,4.5,3.5,N
43,2.7,4.9,3.1,N
44,3,4.9,2.6,N
45,0,4.5,2.1,P
46,0,4.2,3.4,N
47,0,4.9,3,N
48,0,5.9,2.9,N
